objectcode,objectdescription,recologyid,roadwayid,roadwaydescription,cantype,cancolor,streetcorner,onstreet,fromstreet,installeddate,removeddate,latitude,longitude,globalid,objectid,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
CAN-117051,1308 19TH AVE,1051117051,,,CEMENT / CONCRETE,,,,,1988/01/01 12:00:00 AM,,37.763356378,-122.477069307,626d424f-e6be-4ed6-aba9-9f60597a7f4f,1532,POINT (-122.477069307 37.763356378),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-407973,3850 20TH ST,1051407973,,,RENAISSANCE / METAL,,,,,1988/01/01 12:00:00 AM,,37.758189164,-122.426944763,78a659df-4154-4d3e-900a-0e549202e61e,2041,POINT (-122.426944763 37.758189164),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5709449,1398 MC ALLISTER ST,10515709449,,,CEMENT / CONCRETE,,,,,2014/12/01 12:00:00 AM,,37.778472,-122.434947,22504e91-4f9c-4f3a-ae8b-8d69b1acbefe,2303,POINT (-122.434947 37.778472),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5764501,1671 MISSION ST,10515764501,,,RENAISSANCE / METAL,,,,,2015/06/19 12:00:00 AM,,37.770890614,-122.419665843,76b222e5-46fd-4182-8399-e9c1fffda521,2317,POINT (-122.419665843 37.770890614),Mission,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6371926,206 11TH ST,10516371926,,,BIG BELLY,,,,,2020/09/14 12:00:00 AM,,37.772968145,-122.415448874,74cf48bb-f014-4fa7-92e1-4f56911244b4,2615,POINT (-122.415448874 37.772968145),Mission,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6454169,2000 OFARRELL ST,10516454169,,,BIG BELLY,,,,,2021/04/29 12:00:00 AM,,37.782679073,-122.437764642,4748c2ca-b1f5-4519-aa88-a60915618f05,2638,POINT (-122.437764642 37.782679073),Western Addition,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6504161,2292 MISSION ST,10516504161,,,RENAISSANCE / METAL,,,,,2021/08/24 12:00:00 AM,,37.760412746,-122.419270413,5f8c018b-20ec-4e21-9aac-1feec5d7fcc2,2657,POINT (-122.419270413 37.760412746),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6064620,2098 TURK ST,10516064620,,,RENAISSANCE / METAL,,,,,2017/11/29 12:00:00 AM,,37.779288757,-122.441960239,4d7a6c32-1261-491e-96aa-5943d2b35eb6,2416,POINT (-122.441960239 37.779288757),Lone Mountain/USF,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3690237,2804 SUNSET BLVD,10513690237,,,CEMENT / CONCRETE,,,,,2001/03/12 12:00:00 AM,,37.734867557,-122.494050571,5afac74f-bbda-4f62-8aad-32325ae6a938,1988,POINT (-122.494050571 37.734867557),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1320399,401 TURK ST,10011320399,,,BIG BELLY,,,,,2022/08/17 12:00:00 AM,,37.782552532,-122.415811585,eeea6660-7523-4059-8778-472435cec80c,1657,POINT (-122.415811585 37.782552532),Tenderloin,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-5971320,1804 IRVING ST,10515971320,,,RENAISSANCE / METAL,,,,,2017/02/24 12:00:00 AM,,37.763588485,-122.477336227,e013d85f-0faa-4b62-ada5-4a717a2b6570,2406,POINT (-122.477336227 37.763588485),Sunset/Parkside,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1089598,265 GROVE ST,10011089598,,,CEMENT / CONCRETE,,,,,2014/12/01 12:00:00 AM,,37.778074483,-122.42092237,1160bd65-264e-4581-a3d7-4c506deca350,1416,POINT (-122.42092237 37.778074483),Hayes Valley,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1772052,64 SCOTT ST,10511772052,,,CEMENT / CONCRETE,,,,,1989/08/01 12:00:00 AM,,37.769750236,-122.434998511,e29e6527-b27b-4893-94aa-4f9b26000e95,1744,POINT (-122.434998511 37.769750236),Haight Ashbury,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3359460,5170 CALIFORNIA ST,10513359460,,,RENAISSANCE / METAL,,,,,1999/01/12 12:00:00 AM,,37.784471721,-122.472842725,cf585d43-a54c-4e7b-bf79-65a365d0f981,1905,POINT (-122.472842725 37.784471721),Outer Richmond,1,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3761095,104 QUINT ST,10513761095,,,RENAISSANCE / METAL,,,,,2001/07/01 12:00:00 AM,,37.745955896,-122.388657601,2ef9167f-7de7-42e2-8ec0-f1074f0f62b0,2004,POINT (-122.388657601 37.745955896),Bayview Hunters Point,10,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-605600,1 HALLIDIE PLAZA,1001605600,,,RENAISSANCE / METAL,,,,,2000/01/01 12:00:00 AM,,37.784130009,-122.408767977,6b78bcb5-9257-4d2b-a8e8-25cda4ce9c37,2413,POINT (-122.408767977 37.784130009),Tenderloin,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6266647,998 FELL ST,10516266647,,,RENAISSANCE / METAL,,,,,2019/09/13 12:00:00 AM,,37.774526336,-122.434201345,ef5c0334-910a-4868-83fe-74791ce9f0c5,2567,POINT (-122.434201345 37.774526336),Hayes Valley,5,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-2288074,1292 IRVING ST,10512288074,,,RENAISSANCE / METAL,,,,,1992/04/24 12:00:00 AM,,37.763844885,-122.47151705,e023a4bf-2623-438a-a377-6373d40106a1,1762,POINT (-122.47151705 37.763844885),Inner Sunset,7,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3134269,695 VALENCIA ST,10513134269,,,RENAISSANCE / METAL,,,,,1997/08/14 12:00:00 AM,,37.761842064,-122.421570059,73e8f8ab-c2e2-493e-8786-93d6db7f2f46,1870,POINT (-122.421570059 37.761842064),Mission,9,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-3200193,1200 BOSWORTH ST,10513200193,,,RENAISSANCE / METAL,,,,,1998/01/27 12:00:00 AM,,37.734937975,-122.440027245,152309a1-0fc6-462b-843f-ff629df1e4cf,1874,POINT (-122.440027245 37.734937975),Glen Park,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-4194379,498 CHURCH ST,10514194379,,,RENAISSANCE / METAL,,,,,2004/02/01 12:00:00 AM,,37.762980561,-122.428563872,6c1ce07e-35ee-4454-afdf-ec7935db84bb,2047,POINT (-122.428563872 37.762980561),Castro/Upper Market,8,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1375674,198 SEVEN SEAS AVE,10011375674,,,RENAISSANCE / METAL,,,,,2024/10/28 12:00:00 AM,,37.818130791,-122.370365504,00153880-484c-4694-b263-ebb09bb1eeaa,1701,POINT (-122.370365504 37.818130791),Treasure Island,6,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-6367080,903 GREAT HWY,10516367080,,,BIG BELLY,,,,,2020/08/31 12:00:00 AM,,37.77122851,-122.511126653,fe105056-bafb-452a-be55-a732b84269c8,2610,POINT (-122.511126653 37.77122851),Golden Gate Park,4,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1335074,2900 DIVISADERO ST,10011335074,,,RENAISSANCE / METAL,,,,,2023/04/14 12:00:00 AM,,37.796349078,-122.442086394,a2c4a40e-89f6-4251-bb57-d0a639d09a51,1665,POINT (-122.442086394 37.796349078),Marina,2,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
CAN-1109925,1198 THE EMBARCADERO,10011109925,,,RENAISSANCE / METAL,,,,,2015/06/19 12:00:00 AM,,37.805199124,-122.403328418,f7863d83-2c12-4fbb-aef4-904a1bc33b1f,1485,POINT (-122.403328418 37.805199124),North Beach,3,2025/08/07 12:00:00 AM,2025/08/20 03:18:16 PM
