id_1,id_2,time_diff_min,battery_diff,wave_period_diff,wave_height_diff,turbidity_diff,water_temp_diff,same_beach,rule_based_flag,is_duplicate
322,323,43,18,3.96,1.05,39.41,3.27,1,0,0
17452,17453,29,27,9.64,0.63,54.86,2.14,1,0,0
5981,5982,7,11,2.19,0.51,60.91,1.19,1,0,0
12931,12932,41,21,2.56,1.69,4.9,6.72,1,0,0
30986,30987,52,15,2.06,0.32,14.39,0.84,1,0,1
12887,12888,19,90,5.45,1.2,48.42,1.28,1,0,0
15941,15943,44,19,3.46,1.96,62.96,7.79,1,0,0
31297,31298,33,6,8.2,1.18,42.1,8.21,1,0,0
34854,34855,33,70,1.52,1.96,65.74,5.3,1,0,0
21797,21798,20,8,8.73,1.27,46.93,4.92,1,0,0
11022,11023,51,34,8.45,0.49,14.31,5.97,1,0,0
8421,8422,16,25,5.76,2.69,25.08,0.65,1,0,0
7958,7959,57,26,4.07,2.44,74.44,6.42,1,0,0
33442,33443,33,75,6.46,0.43,6.53,1.73,1,0,1
24556,24557,9,27,3.17,3.61,18.21,9.58,1,0,0
25020,25021,15,2,3.25,1.13,35.51,2.1,1,0,0
28018,28019,5,30,4.4,0.29,12.98,0.42,1,1,1
20309,20310,58,34,5.79,1.01,56.02,6.6,1,0,0
14792,14793,33,69,12.19,0.79,29.92,4.89,1,0,0
34916,34917,47,26,8.52,1.24,13.12,0.88,1,0,1
31531,31532,19,17,0.99,3.58,64.6,6.53,1,0,0
23910,23911,15,5,3.65,0.24,20.13,4.77,1,0,0
7845,7846,19,19,5.54,2.6,2.93,0.24,1,0,1
3082,3083,36,1,6.56,0.47,31.83,1.33,1,0,0
9815,9816,16,24,2.9,0.23,8.32,1.03,1,0,1
6354,6355,24,18,9.39,0.55,71.55,0.44,1,0,0
34528,34529,46,34,3.96,1.35,42.67,0.33,1,0,0
13548,13549,37,84,2.16,0.43,2.29,6.09,1,0,0
14696,14697,44,27,0.61,1.79,41.59,7.45,1,0,0
13813,13814,53,63,3.91,3.74,23.01,4.96,1,0,0
4833,4834,26,27,3.18,2.46,22.76,5.03,1,0,0
34923,34924,6,18,1.67,0.83,66.65,1.9,1,0,0
6398,6399,5,7,1.02,1.71,15.36,2,1,1,0
5551,5552,52,20,3.35,1.94,10.83,1.38,1,0,1
30263,30264,12,94,7.65,3.89,40.84,5.54,1,0,0
11321,11322,29,27,0.42,0.06,79.48,1.58,1,0,0
22810,22811,28,76,0.69,0.97,53.24,4.58,1,0,0
7668,7669,17,38,6.42,0.17,15.35,3.91,1,0,0
3864,3865,48,12,1.76,1.45,66.29,3.9,1,0,0
24318,24319,13,9,3.86,3.04,34.19,4.02,1,0,0
31271,31272,39,61,9.12,1.5,0.96,2.71,1,0,1
29999,30000,56,38,6.37,1.17,49.58,7.6,1,0,0
20946,20947,59,16,4.77,2.16,51.9,7.76,1,0,0
21513,21514,59,62,2.4,1.14,11.36,8.2,1,0,0
14895,14896,40,76,9.08,1.17,60.34,4.63,1,0,0
21277,21278,59,17,8.46,1.47,3.32,1.82,1,0,1
12014,12015,56,22,2.28,0.24,63.65,2.22,1,0,0
3817,3818,5,52,3.39,0.49,10.05,6.35,1,1,0
34159,34160,22,18,1.46,1.01,18.2,7.37,1,0,0
12699,12701,48,75,2.32,0.24,34.77,1.94,1,0,0
30342,30343,6,40,3.69,2.98,29.97,7.67,1,0,0
4462,4463,45,44,6.11,2.67,8.47,4.62,1,0,1
14883,14884,17,42,11.12,1.34,17.4,6.62,1,0,0
22365,22366,60,40,4.28,3.12,3.32,5.57,1,0,0
17948,17949,54,47,10.89,1.94,25.2,6.09,1,0,0
24068,24070,46,19,2.38,0.76,65.43,8.82,1,0,0
19033,19034,36,77,12.05,1.5,5.29,4.09,1,0,1
12559,12560,31,27,5.03,0.94,41.99,2.32,1,0,0
28321,28322,29,29,12.01,1.16,13.32,6,1,0,0
27010,27011,9,27,3.49,2.33,41.02,0.51,1,0,0
34473,34474,57,58,6.9,1.52,63.24,1.67,1,0,0
23593,23594,42,29,5.25,0.58,14.67,3.06,1,0,1
5352,5353,22,49,5.47,0.67,12.93,1.79,1,0,1
1001,1002,42,11,1.76,0.73,51.91,0.35,1,0,0
121,122,45,78,1.49,0.72,44.2,3.75,1,0,0
32084,32085,37,44,0.38,1.8,3.12,3.14,1,0,1
18606,18607,13,31,0.61,0.04,19.34,1.43,1,0,0
6565,6566,22,40,3.3,1.19,19.36,0.78,1,0,0
10140,10141,22,1,0.9,0.32,81.14,1.93,1,0,0
30400,30401,50,23,0.4,4.07,48.3,1.93,1,0,0
4904,4905,49,2,2.04,1.45,63.06,7.35,1,0,0
13333,13334,14,34,0.1,2.47,12.53,0.5,1,0,1
813,814,48,4,5.23,0.04,10.68,0.71,1,0,1
12008,12009,39,14,7.1,0.01,5.26,1.21,1,0,1
20251,20252,32,7,2.11,0.35,10.11,3.67,1,0,1
15121,15122,16,17,4.23,0.46,29.97,1.11,1,0,0
9844,9845,46,37,8.58,1.53,50.92,4.84,1,0,0
1482,1483,36,56,4.29,2.35,0.65,2.61,1,0,1
